image_path,label,degrees,source,messy,paddle_pred,paddle_lat,onnx_pred,onnx_lat,optimum_pred,optimum_lat
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_messy/AUDITED REPORT 2081 (1) (1)_page_0001_rot0.png,0,0,AUDITED REPORT 2081 (1) (1)_page_0001.png,True,0,89.48862500255927,0,53.00045899639372,0,54.30458299815655
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_messy/AUDITED REPORT 2081 (1) (1)_page_0001_rot90.png,1,90,AUDITED REPORT 2081 (1) (1)_page_0001.png,True,1,38.00612500344869,1,23.04995800659526,1,23.356875011813827
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_messy/AUDITED REPORT 2081 (1) (1)_page_0001_rot180.png,2,180,AUDITED REPORT 2081 (1) (1)_page_0001.png,False,2,34.05950000160374,2,25.315874998341314,2,23.973292001755908
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_messy/AUDITED REPORT 2081 (1) (1)_page_0001_rot270.png,3,270,AUDITED REPORT 2081 (1) (1)_page_0001.png,False,3,35.43925000121817,3,30.554291006410494,3,28.170374993351288
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_messy/AUDITED REPORT 2081 (1) (1)_page_0002_rot0.png,0,0,AUDITED REPORT 2081 (1) (1)_page_0002.png,False,0,31.254375004209578,0,23.09524999873247,0,22.944041003938764
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_messy/AUDITED REPORT 2081 (1) (1)_page_0002_rot90.png,1,90,AUDITED REPORT 2081 (1) (1)_page_0002.png,True,1,30.340750003233552,1,20.66341599856969,1,21.9158330000937
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_messy/AUDITED REPORT 2081 (1) (1)_page_0002_rot180.png,2,180,AUDITED REPORT 2081 (1) (1)_page_0002.png,True,2,38.33362499426585,2,25.715416995808482,2,26.907584004220553
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_messy/AUDITED REPORT 2081 (1) (1)_page_0002_rot270.png,3,270,AUDITED REPORT 2081 (1) (1)_page_0002.png,False,3,49.055582989240065,3,34.12499999103602,3,37.43212499830406
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_messy/AUDITED REPORT 2081 (1) (1)_page_0003_rot0.png,0,0,AUDITED REPORT 2081 (1) (1)_page_0003.png,False,0,37.222625003778376,0,22.826625005109236,0,28.323165999609046
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_messy/AUDITED REPORT 2081 (1) (1)_page_0003_rot90.png,1,90,AUDITED REPORT 2081 (1) (1)_page_0003.png,False,1,33.64341700216755,1,23.54383299825713,1,26.745875002234243
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_messy/AUDITED REPORT 2081 (1) (1)_page_0003_rot180.png,2,180,AUDITED REPORT 2081 (1) (1)_page_0003.png,False,2,32.23770899057854,2,23.44325000012759,2,24.242249986855313
